title,daily_rank,daily_movement,weekly_movement,view_count,like_count,comment_count,video_tags,publish_date,tokens,category,title_len
"""My Battle Against Cancer"" - Doc Willie Ong",19,25,31,2055492,101036,418,"heal, health, home remedies, doctor, weight loss, food, nutrition, health tips, treatment, symptoms, diagnosis, natural, alternative, easy, cheap, effective",2024-09-14 00:00:00+00:00,"['battle', 'cancer', 'doc', 'willie', 'ong']",Family,5
'Abel Villarama: Armado’ FULL MOVIE | Ace Vergel,14,36,36,1693216,8871,213,"ABS-CBN, Star Cinema, ABS-CBN Star Cinema, ABS Star Cinema, Movie, Philippines, Philippine Movie, ABS-CBN Philippines, Format:fullmovie, YT0psMariel, 20240901starcinema, September 1 2024, Tagalog Movie, ABSCBN Movie, Star Cinema Movie, Free Movie, Full movies free, ABSCBN Film, ABSCBN Movies, ABSCBN Full movies free, ABSCBN movies free, Kapamilya movies, Kapamilya full movies, Must watch, Person:Ace Vergel, Movie marathon, Abel Villarama: Armado, Action movie",2024-09-01 00:00:00+00:00,"['abel', 'villarama', 'armado', 'movie', 'ace', 'vergel']",Movies,6
"'Home Sic Home' FULL MOVIE | Dolphy, Babalu",20,25,30,1771232,7329,383,"ABS-CBN, Star Cinema, ABS-CBN Star Cinema, ABS Star Cinema, Movie, Philippines, Philippine Movie, ABS-CBN Philippines, Format:fullmovie, YT0psMariel, 20240713starcinema, July 13 2024, Tagalog Movie, ABSCBN Movie, Star Cinema Movie, Free Movie, Full movies free, Person:Dolphy, Person:Babalu, ABSCBN Film, ABSCBN Movies, ABSCBN Full movies free, ABSCBN movies free, Kapamilya movies, Kapamilya full movies, Home Sic Home, comedy, comedy king, dolphy movie, comedy movie, old movie, dolphy",2024-07-14 00:00:00+00:00,"['home', 'sic', 'home', 'movie', 'dolphy', 'babalu']",Movies,6
"'Hostage' FULL MOVIE | Cesar Montano, Roi Vinzon, Bayani Agbayani",9,39,41,3626151,17544,469,"ABS-CBN, Star Cinema, ABS-CBN Star Cinema, ABS Star Cinema, Movie, Philippines, Philippine Movie, ABS-CBN Philippines, Format:fullmovie, YT0psMariel, 20240910starcinema, September 10 2024, Tagalog Movie, ABSCBN Movie, Star Cinema Movie, Free Movie, Full movies free, ABSCBN Film, ABSCBN Movies, ABSCBN Full movies free, ABSCBN movies free, Kapamilya movies, Kapamilya full movies, Person:Cesar Montano, Person:Roi Vinzon, Person:Bayani Agbayani, Movie marathon, Movie PH, Hostage",2024-09-10 00:00:00+00:00,"['hostage', 'movie', 'cesar', 'montano', 'roi', 'vinzon', 'bayani', 'agbayani']",Movies,8
'Naiihi ako sa nerbyos dito': Duterte excuses himself after raising voice at Hontiveros,6,43,44,2492289,21066,28844,"ABS-CBN, ABS-CBN News, ABS-CBN Philippines, Philippine News, News, Philippines, ABS-CBN News Exclusive, #ABS-CBNNews_Exclusive, nighttime, english news, latest news, news update, recent news, YT0psRebecca, 10282024news, October 28 2024, channel:ABSCBNNews, series:ABSCBNNewsExclusive, genre:crime, genre:politics, format:report, type:broadcast, type:highlight, source:video, source:audio, Rodrigo Duterte, Duterte, Risa Hontiveros, Hontiveros, Senate, probe, war on drugs, drug war, drug, bloody campaign",2024-10-28 00:00:00+00:00,"['naiihi', 'nerbyos', 'duterte', 'excuses', 'raising', 'voice', 'hontiveros']",News & Politics,7
"'Patapusin mo muna 'ko!' Hontiveros, Duterte clash over 'unacceptable' comments about killings",1,49,49,5176966,51170,54784,"ABS-CBN, ABS-CBN News, ABS-CBN Philippines, Philippine News, News, Philippines, PatrolPH, Tagalog news, News Daytime, ABS-CBN Highlights, ABS-CBN News Latest news, October 28 2024, 20241028news, ABS-CBNNews_HL, YT0psRL, format:report, format:livereport, type:broadcast, genre:society, genre:politics, genre:economy, channel:ABS-CBNNews, #ABS-CBNNews_Highlight, type:live, source:audio, abs-cbn news, ABS-CBN News Exclusive, #ABS-CBNNews_Exclusive, recent news, channel:ABSCBNNews, Top News, news update",2024-10-28 00:00:00+00:00,"['patapusin', 'mo', 'muna', 'ko', 'hontiveros', 'duterte', 'clash', 'unacceptable', 'comments', 'killings']",News & Politics,10
1000 Minions #mobilelegends #mlbb #shorts,34,16,16,3292510,114031,796,,2024-02-13 00:00:00+00:00,"['1000', 'minions', 'mobilelegends', 'mlbb', 'shorts']",Shorts,5
"AGA MUHLACH, MAY INAMIN! | VICE GANDA",11,36,39,1841546,36029,1410,,2024-02-04 00:00:00+00:00,"['aga', 'muhlach', 'inamin', 'vice', 'ganda']",Foreign,5
AKYAT BUNDOK,16,34,34,2144940,82517,6833,"geo ong, vlog, vlogger, ybs, travel, adventure, palawan, gio, ong, gioong, hiphop, covid19, covid, corona, pinoy, philippines, youngbloods, dougie, congtv, teampayaman, jolai, viy, yow, bosskeng, exb, exbattalion, skustclee, yongee, flowg, angelicayap, offroad, livelife, ranzkyle, niana, ranz&niana, camping, offgrid, wildasovich, harabas",2024-05-07 00:00:00+00:00,"['akyat', 'bundok']",Foreign,2
ALANGANIN,7,37,43,2157842,78691,5739,"geo ong, vlog, vlogger, ybs, travel, adventure, palawan, gio, ong, gioong, hiphop, covid19, covid, corona, pinoy, philippines, youngbloods, dougie, congtv, teampayaman, jolai, viy, yow, bosskeng, exb, exbattalion, skustclee, yongee, flowg, angelicayap, offroad, livelife, ranzkyle, niana, ranz&niana, camping, offgrid, wildasovich, harabas",2024-12-30 00:00:00+00:00,['alanganin'],Foreign,1
